origin,zone_30,zone_32,zone_35,zone_37,zone_39,zone_46,zone_48,zone_50,zone_54,zone_61,zone_95,zone_98,zone_6,zone_16,zone_19,zone_84,zone_89,zone_101,zone_18,zone_41,zone_44,zone_49,zone_62,zone_77,zone_107,zone_8,zone_26,zone_99,zone_0,zone_3,zone_20,zone_29,zone_55,zone_68,zone_75,zone_94,zone_110,zone_7,zone_12,zone_33,zone_57,zone_74,zone_47,zone_51,zone_103,zone_9,zone_27,zone_36,zone_40,zone_91,zone_108,zone_28,zone_52,zone_60,zone_67,zone_69,zone_82,zone_105,zone_31,zone_65,zone_87,zone_93,zone_102,zone_104,zone_70,zone_88,zone_24,zone_85,zone_86,zone_96,zone_10,zone_17,zone_63,zone_81,zone_22,zone_23,zone_43,zone_92,zone_38,zone_1,zone_4,zone_76,zone_78,zone_79,zone_2,zone_90,zone_21,zone_58,zone_97,zone_56,zone_34,zone_80,zone_83,zone_100,zone_64,zone_5,zone_45,zone_71,zone_11,zone_13,zone_73,zone_15,zone_59,zone_109,zone_53,zone_14,zone_72,zone_66,zone_106,zone_25
zone_74,1603.0,1565.0,1497.0,1612.0,1671.0,1501.0,1450.0,1656.0,1286.0,606.0,1344.0,1401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_62,,,,,,1006.0,,,,499.0,,,1132.0,662.0,1074.0,1474.0,1646.0,1971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_63,,,,,,,,,,,,,,,,,,,642.0,1360.0,1290.0,1193.0,237.0,653.0,1701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_60,,,,,,,,,547.0,,,,,,,,,1874.0,,,,,,,,808.0,1421.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_40,,,,,,,,,,,,,,,,,,,,,,,,,551.0,,,,891.0,1034.0,1304.0,627.0,1309.0,1393.0,1751.0,1213.0,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_103,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0,,1874.0,,1296.0,,1183.0,1390.0,341.0,1598.0,2052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_50,,,,,,,,,942.0,,,,,,,2005.0,,,,,,,,,,,,,,,,,,,,,1100.0,693.0,,,,,319.0,422.0,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_68,,,,,,,844.0,,,,,,,,,1296.0,1468.0,,,,,,,,1373.0,,,1615.0,,,,,273.0,,,,,,,,,,,,1524.0,1128.0,1708.0,1421.0,1314.0,1479.0,1347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_65,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.0,,,,464.0,,,,,,,,,,,,1375.0,1170.0,,,,,,,,1221.0,1357.0,609.0,636.0,386.0,1051.0,1756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_55,,,,,,,,,,,,,1218.0,,,,,,,,,,,,,,,,,,,1779.0,,,,,,,,1627.0,,,,,,1095.0,,,,,,,,,,,,1845.0,1714.0,867.0,1418.0,1449.0,1899.0,1739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_57,,,,,,,,,,,1611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.0,,,,,1456.0,,,,,,,,1221.0,1641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_110,,,,,,,,,,,,,,,,1617.0,,,,,,1283.0,,,,,,,,,,,,,,,,,,414.0,,,1373.0,,,,,,,1438.0,,,,,,,,,,,,,,,,,1103.0,1817.0,1606.0,967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_33,226.0,,,,,,,,,,,,,,,,,694.0,,,,,,1754.0,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_39,,,,,,,990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.0,,,,,,,,,,,,,,,507.0,,,,,,,,,,,,1382.0,1360.0,1614.0,1913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_52,,,,476.0,,,,,,1497.0,,,590.0,1443.0,1388.0,,,,,201.0,,,,,,,,,,,,1030.0,,1372.0,,,,,,791.0,,,,,,,,,,,,,,,,,,,,,1744.0,,,,,1532.0,,,,,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_41,823.0,,,,,,,,,,,,,,1480.0,,,,,,,,,1789.0,,,1243.0,,,,,,,,,,,,,,,,,,,,1108.0,,,,,,,,,,,,,,,,,,,1528.0,1349.0,,,,,,1483.0,1932.0,1517.0,1706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
